2025-01-01,Seoul,57
2025-01-01,Busan,112
2025-01-01,Daegu,113
2025-01-01,Incheon,97
2025-01-02,Seoul,32
2025-01-02,Busan,119
2025-01-02,Daegu,83
2025-01-02,Incheon,115
2025-01-03,Seoul,83
2025-01-03,Busan,105
2025-01-03,Daegu,85
2025-01-03,Incheon,55
2025-01-04,Seoul,80
2025-01-04,Busan,99
2025-01-04,Daegu,102
2025-01-04,Incheon,62
2025-01-05,Seoul,101
2025-01-05,Busan,74
2025-01-05,Daegu,60
2025-01-05,Incheon,92
2025-01-06,Seoul,106
2025-01-06,Busan,88
2025-01-06,Daegu,95
2025-01-06,Incheon,82
2025-01-07,Seoul,34
2025-01-07,Busan,92
2025-01-07,Daegu,83
2025-01-07,Incheon,67
2025-01-08,Seoul,73
2025-01-08,Busan,41
2025-01-08,Daegu,39
2025-01-08,Incheon,73
2025-01-09,Seoul,102
2025-01-09,Busan,51
2025-01-09,Daegu,89
2025-01-09,Incheon,39
2025-01-10,Seoul,46
2025-01-10,Busan,48
2025-01-10,Daegu,91
2025-01-10,Incheon,39
2025-01-11,Seoul,86
2025-01-11,Busan,52
2025-01-11,Daegu,115
2025-01-11,Incheon,61
2025-01-12,Seoul,48
2025-01-12,Busan,99
2025-01-12,Daegu,79
2025-01-12,Incheon,44
2025-01-13,Seoul,33
2025-01-13,Busan,59
2025-01-13,Daegu,86
2025-01-13,Incheon,91
2025-01-14,Seoul,108
2025-01-14,Busan,71
2025-01-14,Daegu,90
2025-01-14,Incheon,60
2025-01-15,Seoul,92
2025-01-15,Busan,86
2025-01-15,Daegu,105
2025-01-15,Incheon,68
2025-01-16,Seoul,68
2025-01-16,Busan,58
2025-01-16,Daegu,36
2025-01-16,Incheon,104
2025-01-17,Seoul,102
2025-01-17,Busan,84
2025-01-17,Daegu,57
2025-01-17,Incheon,32
2025-01-18,Seoul,82
2025-01-18,Busan,44
2025-01-18,Daegu,84
2025-01-18,Incheon,97
2025-01-19,Seoul,58
2025-01-19,Busan,112
2025-01-19,Daegu,115
2025-01-19,Incheon,107
2025-01-20,Seoul,110
2025-01-20,Busan,85
2025-01-20,Daegu,80
2025-01-20,Incheon,54
2025-01-21,Seoul,42
2025-01-21,Busan,79
2025-01-21,Daegu,105
2025-01-21,Incheon,32
2025-01-22,Seoul,103
2025-01-22,Busan,96
2025-01-22,Daegu,38
2025-01-22,Incheon,58
2025-01-23,Seoul,102
2025-01-23,Busan,50
2025-01-23,Daegu,58
2025-01-23,Incheon,62
2025-01-24,Seoul,120
2025-01-24,Busan,61
2025-01-24,Daegu,117
2025-01-24,Incheon,117
2025-01-25,Seoul,55
2025-01-25,Busan,54
2025-01-25,Daegu,75
2025-01-25,Incheon,62
2025-01-26,Seoul,47
2025-01-26,Busan,111
2025-01-26,Daegu,113
2025-01-26,Incheon,76
2025-01-27,Seoul,106
2025-01-27,Busan,110
2025-01-27,Daegu,37
2025-01-27,Incheon,38
2025-01-28,Seoul,101
2025-01-28,Busan,61
2025-01-28,Daegu,36
2025-01-28,Incheon,93
2025-01-29,Seoul,81
2025-01-29,Busan,64
2025-01-29,Daegu,37
2025-01-29,Incheon,80
2025-01-30,Seoul,91
2025-01-30,Busan,44
2025-01-30,Daegu,69
2025-01-30,Incheon,54
2025-01-31,Seoul,51
2025-01-31,Busan,82
2025-01-31,Daegu,107
2025-01-31,Incheon,66
2025-02-01,Seoul,115
2025-02-01,Busan,81
2025-02-01,Daegu,120
2025-02-01,Incheon,46
2025-02-02,Seoul,95
2025-02-02,Busan,72
2025-02-02,Daegu,54
2025-02-02,Incheon,58
2025-02-03,Seoul,57
2025-02-03,Busan,103
2025-02-03,Daegu,75
2025-02-03,Incheon,108
2025-02-04,Seoul,51
2025-02-04,Busan,112
2025-02-04,Daegu,52
2025-02-04,Incheon,71
2025-02-05,Seoul,48
2025-02-05,Busan,51
2025-02-05,Daegu,94
2025-02-05,Incheon,110
2025-02-06,Seoul,112
2025-02-06,Busan,107
2025-02-06,Daegu,36
2025-02-06,Incheon,76
2025-02-07,Seoul,46
2025-02-07,Busan,53
2025-02-07,Daegu,63
2025-02-07,Incheon,68
2025-02-08,Seoul,120
2025-02-08,Busan,36
2025-02-08,Daegu,111
2025-02-08,Incheon,113
2025-02-09,Seoul,86
2025-02-09,Busan,106
2025-02-09,Daegu,103
2025-02-09,Incheon,70
2025-02-10,Seoul,30
2025-02-10,Busan,68
2025-02-10,Daegu,32
2025-02-10,Incheon,62
2025-02-11,Seoul,41
2025-02-11,Busan,116
2025-02-11,Daegu,75
2025-02-11,Incheon,67
2025-02-12,Seoul,101
2025-02-12,Busan,69
2025-02-12,Daegu,103
2025-02-12,Incheon,92
2025-02-13,Seoul,93
2025-02-13,Busan,92
2025-02-13,Daegu,78
2025-02-13,Incheon,42
2025-02-14,Seoul,92
2025-02-14,Busan,57
2025-02-14,Daegu,105
2025-02-14,Incheon,110
2025-02-15,Seoul,120
2025-02-15,Busan,70
2025-02-15,Daegu,31
2025-02-15,Incheon,89
2025-02-16,Seoul,74
2025-02-16,Busan,114
2025-02-16,Daegu,106
2025-02-16,Incheon,114
2025-02-17,Seoul,78
2025-02-17,Busan,55
2025-02-17,Daegu,35
2025-02-17,Incheon,80
2025-02-18,Seoul,111
2025-02-18,Busan,86
2025-02-18,Daegu,69
2025-02-18,Incheon,95
2025-02-19,Seoul,52
2025-02-19,Busan,117
2025-02-19,Daegu,89
2025-02-19,Incheon,86
2025-02-20,Seoul,49
2025-02-20,Busan,102
2025-02-20,Daegu,49
2025-02-20,Incheon,76
2025-02-21,Seoul,60
2025-02-21,Busan,83
2025-02-21,Daegu,41
2025-02-21,Incheon,81
2025-02-22,Seoul,74
2025-02-22,Busan,107
2025-02-22,Daegu,30
2025-02-22,Incheon,80
2025-02-23,Seoul,91
2025-02-23,Busan,34
2025-02-23,Daegu,91
2025-02-23,Incheon,120
2025-02-24,Seoul,49
2025-02-24,Busan,48
2025-02-24,Daegu,92
2025-02-24,Incheon,67
2025-02-25,Seoul,101
2025-02-25,Busan,36
2025-02-25,Daegu,82
2025-02-25,Incheon,50
2025-02-26,Seoul,98
2025-02-26,Busan,120
2025-02-26,Daegu,52
2025-02-26,Incheon,85
2025-02-27,Seoul,45
2025-02-27,Busan,114
2025-02-27,Daegu,91
2025-02-27,Incheon,48
2025-02-28,Seoul,83
2025-02-28,Busan,99
2025-02-28,Daegu,92
2025-02-28,Incheon,84
2025-03-01,Seoul,37
2025-03-01,Busan,75
2025-03-01,Daegu,51
2025-03-01,Incheon,96
2025-03-02,Seoul,110
2025-03-02,Busan,59
2025-03-02,Daegu,96
2025-03-02,Incheon,61
